,AHLR2190312_S01_AHL1_pLKO_Rep1,AHLR2190312_S02_AHL2_213_Rep1,AHLR2190312_S03_AHL3_2341_Rep1,AHLR2190312_S04_AHL4_pLKO_Rep2,AHLR2190312_S05_AHL5_213_Rep2,AHLR2190312_S06_AHL6_2341_Rep2,AHLR2190312_S07_AHL7_pLKO_Rep3,AHLR2190312_S08_AHL8_213_Rep3,AHLR2190312_S09_AHL9_2341_Rep3,AHLR2190312_S10_AHL10_pLKO_Rep4,AHLR2190312_S11_AHL11_213_Rep4,AHLR2190312_S12_AHL12_2341_Rep4
ENSG00000000003,3411.55444,3351.440606,3537.023872,3306.491277,3704.37228,3273.524296,3180.18361,3230.150701,3356.42954,2973.656633,3779.352167,4506.467765
ENSG00000000419,2866.283206,2796.05902,2713.465244,2606.584006,2365.248154,2129.11432,2864.413765,2639.419928,2795.984831,2843.676044,1876.773883,2974.744684
ENSG00000000457,712.9615724,748.0190126,684.5162618,737.9457092,807.7768821,705.8812498,768.405877,803.3648227,668.5824641,722.841691,850.5527329,765.8615405
ENSG00000000460,1973.415443,1587.287332,1579.735186,1655.623041,1434.852677,1365.880218,1559.296913,1514.564033,1439.063966,1537.324373,1455.963663,1359.728752
ENSG00000000938,1.110532044,0,0,1.901921931,1.075601707,0.882351562,8.798540576,1.451426961,4.159144411,7.48089719,1.984953869,2.163450679
ENSG00000000971,23.32117293,1.126534657,11.76512325,21.87210221,5.378008536,15.88232812,12.70900305,4.354280882,13.51721934,8.416009339,2.977430803,1.08172534
ENSG00000001036,619.6768807,1479.140005,1407.536563,507.8131556,1416.567448,1271.468601,529.8676658,1337.489944,1328.846639,579.7695322,1401.377431,1497.10787
ENSG00000001084,1927.883629,1828.365749,1729.473118,1769.738357,1500.464382,1632.35039,1899.507149,1942.009273,1871.614985,1900.147886,1814.247836,1802.154416
ENSG00000001167,5120.663256,4580.489917,4509.250875,5254.059334,4107.72292,4612.051616,5884.268414,5355.039771,4510.592114,5984.717752,5186.68446,2944.456375
ENSG00000001460,465.3129266,252.3437633,405.3619738,389.8939959,271.0516302,305.2936406,404.7328665,285.2053978,326.4928363,568.5481865,280.8709725,366.7048902
ENSG00000001461,762.9355144,850.5336664,858.8539973,820.6793132,963.7391297,1125.880593,807.5105018,896.2561482,960.762359,953.8143918,1396.415047,1231.003437
ENSG00000001497,6121.252628,5411.872494,5600.198667,5914.026245,5326.379654,5317.050514,5641.819741,5099.588626,5274.8349,5329.204136,4674.566361,4814.759487
ENSG00000001561,1.110532044,1.126534657,2.139113318,0.950960966,2.151203414,1.764703125,0,1.451426961,2.079572206,0,4.962384672,5.408626699
ENSG00000001617,946.1733017,1171.596044,1112.338925,950.0100046,1274.588023,1463.821242,843.6822797,1005.11317,975.3193645,861.238289,1672.323635,1354.320125
ENSG00000001629,4287.764223,3638.706944,3254.660914,4183.277287,3006.306772,3418.229952,4652.472734,4278.080966,3307.559593,4677.430968,4210.087156,2720.539229
ENSG00000001630,688.5298675,493.42218,548.6825661,727.4851386,502.3059973,528.5285858,821.1971204,578.3936438,587.4791481,720.0363546,635.1852381,571.1509794
ENSG00000001631,777.372431,604.9491111,545.4738961,657.1140272,690.536296,602.646117,702.9056305,709.7477838,594.7576508,671.4105228,611.3657916,544.1078459
ENSG00000002016,935.0679813,927.1380231,855.6453273,1002.312858,834.6669248,916.7632732,1069.511488,1002.93603,975.3193645,1067.898074,1093.709582,853.4812931
ENSG00000002330,2037.826301,3553.09031,3892.116682,2194.817908,4471.276297,3830.288132,2072.545113,3013.16237,3575.824408,1976.827083,3753.547766,6095.522289
